round,player_fund,dealer_fund
1,-1.0,1.0
2,-2.0,2.0
3,-1.02,2.02
4,-2.02,3.02
5,-1.04,3.04
6,-2.04,4.04
7,-3.04,5.04
8,-4.04,6.04
9,-3.06,6.06
10,-2.08,6.079999999999999
11,-1.1,6.099999999999999
12,-2.1,7.099999999999999
13,-3.1,8.099999999999998
14,-2.12,8.119999999999997
15,-3.12,9.119999999999997
16,-2.14,9.139999999999997
17,-1.1600000000000001,9.159999999999997
18,-0.18000000000000016,9.179999999999996
19,0.7999999999999998,9.199999999999996
20,-0.20000000000000018,10.199999999999996
21,-1.2000000000000002,11.199999999999996
22,-0.2200000000000002,11.219999999999995
23,-1.2200000000000002,12.219999999999995
24,-0.2400000000000002,12.239999999999995
25,-1.2400000000000002,13.239999999999995
26,-0.26000000000000023,13.259999999999994
27,0.7199999999999998,13.279999999999994
28,1.6999999999999997,13.299999999999994
29,2.6799999999999997,13.319999999999993
30,1.6799999999999997,14.319999999999993
31,2.6599999999999997,14.339999999999993
32,3.6399999999999997,14.359999999999992
33,2.6399999999999997,15.359999999999992
34,3.6199999999999997,15.379999999999992
35,2.6199999999999997,16.379999999999992
36,3.5999999999999996,16.39999999999999
37,2.5999999999999996,17.39999999999999
38,1.5999999999999996,18.39999999999999
39,2.5799999999999996,18.41999999999999
40,3.5599999999999996,18.43999999999999
41,2.5599999999999996,19.43999999999999
42,3.5399999999999996,19.45999999999999
43,4.52,19.47999999999999
44,5.5,19.49999999999999
45,6.48,19.51999999999999
46,7.460000000000001,19.53999999999999
47,8.440000000000001,19.559999999999988
48,9.420000000000002,19.579999999999988
49,8.420000000000002,20.579999999999988
50,7.420000000000002,21.579999999999988
51,6.420000000000002,22.579999999999988
52,7.400000000000002,22.599999999999987
53,6.400000000000002,23.599999999999987
54,5.400000000000002,24.599999999999987
55,4.400000000000002,25.599999999999987
56,5.380000000000003,25.619999999999987
57,4.380000000000003,26.619999999999987
58,3.3800000000000026,27.619999999999987
59,2.3800000000000026,28.619999999999987
60,1.3800000000000026,29.619999999999987
61,0.38000000000000256,30.619999999999987
62,1.3600000000000025,30.639999999999986
63,0.36000000000000254,31.639999999999986
64,1.3400000000000025,31.659999999999986
65,2.3200000000000025,31.679999999999986
66,3.3000000000000025,31.699999999999985
67,4.280000000000003,31.719999999999985
68,3.280000000000003,32.719999999999985
69,2.280000000000003,33.719999999999985
70,1.280000000000003,34.719999999999985
71,0.2800000000000029,35.719999999999985
72,1.260000000000003,35.73999999999999
73,0.2600000000000029,36.73999999999999
74,1.2400000000000029,36.75999999999999
75,0.24000000000000288,37.75999999999999
76,-0.7599999999999971,38.75999999999999
77,-1.7599999999999971,39.75999999999999
78,-0.7799999999999971,39.779999999999994
79,-1.7799999999999971,40.779999999999994
80,-0.7999999999999972,40.8
81,0.18000000000000282,40.82
82,1.1600000000000028,40.84
83,0.1600000000000028,41.84
84,1.1400000000000028,41.86000000000001
85,2.1200000000000028,41.88000000000001
86,3.1000000000000028,41.90000000000001
87,4.080000000000003,41.920000000000016
88,5.060000000000002,41.94000000000002
89,4.060000000000002,42.94000000000002
90,5.040000000000003,42.96000000000002
91,4.040000000000003,43.96000000000002
92,3.0400000000000027,44.96000000000002
93,2.0400000000000027,45.96000000000002
94,1.0400000000000027,46.96000000000002
95,2.0200000000000027,46.980000000000025
96,1.0200000000000027,47.980000000000025
97,0.020000000000002682,48.980000000000025
98,-0.9799999999999973,49.980000000000025
99,-1.9799999999999973,50.980000000000025
100,-2.9799999999999973,51.980000000000025
101,-1.9999999999999973,52.00000000000003
102,-1.0199999999999974,52.02000000000003
103,-0.03999999999999737,52.040000000000035
104,-1.0399999999999974,53.040000000000035
105,-0.05999999999999739,53.06000000000004
106,-1.0599999999999974,54.06000000000004
107,-2.0599999999999974,55.06000000000004
108,-3.0599999999999974,56.06000000000004
109,-4.059999999999997,57.06000000000004
110,-3.079999999999997,57.08000000000004
111,-4.0799999999999965,58.08000000000004
112,-5.0799999999999965,59.08000000000004
113,-6.0799999999999965,60.08000000000004
114,-7.0799999999999965,61.08000000000004
115,-8.079999999999997,62.08000000000004
116,-7.099999999999996,62.100000000000044
117,-8.099999999999996,63.100000000000044
118,-7.119999999999996,63.12000000000005
119,-8.119999999999996,64.12000000000005
120,-9.119999999999996,65.12000000000005
121,-10.119999999999996,66.12000000000005
122,-9.139999999999995,66.14000000000004
123,-8.159999999999995,66.16000000000004
124,-9.159999999999995,67.16000000000004
125,-10.159999999999995,68.16000000000004
126,-11.159999999999995,69.16000000000004
127,-12.159999999999995,70.16000000000004
128,-11.179999999999994,70.18000000000004
129,-12.179999999999994,71.18000000000004
130,-11.199999999999994,71.20000000000003
131,-12.199999999999994,72.20000000000003
132,-13.199999999999994,73.20000000000003
133,-12.219999999999994,73.22000000000003
134,-13.219999999999994,74.22000000000003
135,-14.219999999999994,75.22000000000003
136,-15.219999999999994,76.22000000000003
137,-16.21999999999999,77.22000000000003
138,-17.21999999999999,78.22000000000003
139,-18.21999999999999,79.22000000000003
140,-19.21999999999999,80.22000000000003
141,-18.23999999999999,80.24000000000002
142,-17.25999999999999,80.26000000000002
143,-16.27999999999999,80.28000000000002
144,-17.27999999999999,81.28000000000002
145,-18.27999999999999,82.28000000000002
146,-19.27999999999999,83.28000000000002
147,-18.29999999999999,83.30000000000001
148,-19.29999999999999,84.30000000000001
149,-18.31999999999999,84.32000000000001
150,-19.31999999999999,85.32000000000001
151,-18.33999999999999,85.34
152,-17.35999999999999,85.36
153,-18.35999999999999,86.36
154,-17.37999999999999,86.38
