player,player_fund,dealer_fund,round
398,30,0,204
399,30,0,148
400,0,30,84
401,0,30,394
402,30,0,434
403,0,30,198
404,0,30,214
405,0,30,66
406,30,0,56
407,0,30,230
408,30,0,130
409,30,0,246
410,30,0,298
411,30,0,92
412,30,0,208
413,30,0,192
414,0,30,100
415,0,30,58
416,30,0,174
417,0,30,36
418,30,0,62
419,0,30,306
420,30,0,202
421,0,30,234
422,30,0,200
423,0,30,30
424,0,30,40
425,0,30,46
426,30,0,28
427,30,0,308
428,0,30,1054
429,30,0,80
430,30,0,414
431,0,30,322
432,0,30,42
433,30,0,310
434,0,30,64
435,0,30,358
436,30,0,144
437,30,0,148
438,30,0,84
439,30,0,514
440,0,30,528
441,0,30,392
442,0,30,22
443,0,30,114
444,0,30,108
445,0,30,250
446,30,0,236
447,30,0,288
448,30,0,520
449,0,30,266
450,30,0,180
451,0,30,122
452,0,30,64
453,0,30,192
454,0,30,190
455,0,30,48
456,0,30,220
457,0,30,36
458,30,0,36
459,0,30,114
460,0,30,24
461,0,30,40
462,30,0,92
463,0,30,28
464,30,0,402
465,0,30,72
466,0,30,182
467,30,0,90
468,0,30,586
469,0,30,216
470,30,0,170
471,0,30,58
472,0,30,40
473,0,30,140
474,0,30,250
475,0,30,410
476,30,0,318
477,30,0,246
478,0,30,152
479,0,30,40
480,30,0,302
481,0,30,546
482,30,0,366
483,0,30,164
484,0,30,348
485,0,30,226
486,0,30,44
487,30,0,466
488,0,30,286
489,0,30,54
490,30,0,102
491,0,30,262
492,0,30,574
493,0,30,488
494,0,30,418
495,30,0,318
496,0,30,34
497,0,30,228
498,0,30,184
499,0,30,238
500,0,30,82
501,30,0,296
502,0,30,36
503,0,30,42
504,30,0,152
505,0,30,174
506,0,30,164
507,30,0,62
508,0,30,186
509,0,30,42
510,0,30,94
511,30,0,200
512,0,30,168
513,0,30,124
514,0,30,196
515,0,30,82
516,0,30,232
517,30,0,304
518,30,0,154
519,0,30,278
520,0,30,350
521,0,30,678
522,0,30,214
523,0,30,204
524,30,0,122
525,30,0,498
526,0,30,444
527,30,0,110
528,30,0,296
529,0,30,148
530,30,0,188
531,0,30,154
532,0,30,216
533,0,30,56
534,0,30,298
535,0,30,72
536,0,30,40
537,30,0,214
538,30,0,176
539,0,30,24
540,30,0,182
541,0,30,26
542,0,30,150
543,30,0,628
544,30,0,188
545,0,30,284
546,0,30,356
547,30,0,88
548,30,0,380
549,0,30,172
550,0,30,166
551,0,30,38
552,0,30,232
553,30,0,282
554,0,30,22
555,0,30,264
556,30,0,232
557,30,0,834
558,30,0,220
559,0,30,134
560,30,0,100
561,0,30,226
562,0,30,94
563,30,0,240
564,30,0,96
565,30,0,138
566,30,0,160
567,0,30,46
568,0,30,294
569,30,0,190
570,0,30,36
571,0,30,50
572,0,30,118
573,30,0,350
574,0,30,408
575,0,30,64
576,0,30,192
577,0,30,144
578,0,30,40
579,0,30,150
580,0,30,50
581,0,30,58
582,0,30,50
583,0,30,40
584,30,0,150
585,30,0,136
586,0,30,116
587,0,30,48
588,30,0,194
589,0,30,172
590,30,0,294
591,0,30,112
592,0,30,436
593,0,30,64
594,30,0,234
595,30,0,1576
596,30,0,70
597,0,30,64
598,0,30,142
599,30,0,104
600,0,30,804
601,0,30,120
602,0,30,62
603,0,30,174
604,0,30,144
605,30,0,250
606,0,30,196
607,30,0,170
608,0,30,296
609,0,30,106
610,30,0,888
611,30,0,118
612,30,0,350
613,30,0,210
614,0,30,260
615,0,30,32
616,0,30,80
617,0,30,60
618,30,0,724
619,30,0,122
620,0,30,46
621,30,0,78
622,0,30,38
623,0,30,104
624,0,30,22
625,0,30,40
626,0,30,216
627,30,0,102
628,0,30,76
629,0,30,92
630,0,30,44
631,0,30,106
632,0,30,244
633,30,0,466
634,0,30,204
635,30,0,82
636,30,0,178
637,30,0,470
638,0,30,206
639,30,0,154
640,0,30,28
641,30,0,408
642,30,0,336
643,30,0,306
644,0,30,34
645,30,0,306
646,30,0,62
647,30,0,148
648,0,30,288
